region_summ_key,region_mean_temp,region_max_temp,region_min_temp,region_mean_precip,region_mean_snow,mean_snow_grnd_last_day,location_key,date_key
1479,15.668817204301076,29.087096774193547,3.1806451612903226,83.50204081632653,0.0,0.0,8,5
1480,19.887096774193548,32.344086021505376,8.320430107526882,60.4,0.0,0.0,8,6
1481,17.662637362637362,32.12967032967033,4.619780219780219,43.981249999999996,0.0,0.0,8,7
1482,12.568131868131868,28.227472527472525,-2.49010989010989,14.6,0.0,0.0,8,8
1483,1.7269662921348314,19.403370786516856,-12.82696629213483,31.136734693877553,14.107999999999999,4.254237288135593,8,9
1484,-8.027472527472527,7.8769230769230765,-24.94945054945055,30.135714285714286,39.018367346938774,14.311688311688311,8,10
1485,-16.30111111111111,1.7722222222222221,-32.71333333333333,15.811340206185568,19.537499999999998,20.49397590361446,8,11
1486,-15.440449438202247,2.9685393258426966,-35.40449438202247,19.2375,24.354166666666668,28.433734939759034,8,12
1487,-10.853932584269662,2.544943820224719,-29.708988764044943,12.554166666666667,15.833333333333334,32.370370370370374,8,13
1488,-11.295555555555556,5.341111111111111,-27.87666666666667,20.21340206185567,27.214583333333334,34.58227848101266,8,14
1489,-2.612222222222222,16.217777777777776,-19.508888888888887,18.702083333333334,18.095744680851062,7.962264150943396,8,15
1490,11.654945054945054,27.860439560439563,-8.286813186813188,29.56421052631579,0.08260869565217391,0.0,8,16
1491,15.478021978021978,27.2021978021978,2.3725274725274725,91.65578947368421,0.0,0.0,8,17
1492,16.89120879120879,30.99010989010989,4.258241758241758,61.46875,0.0,0.0,8,18
1493,17.946153846153845,32.46153846153846,4.485714285714286,31.241666666666664,0.0,0.0,8,19
1494,14.15108695652174,31.745652173913044,-1.3782608695652174,35.046938775510206,0.0,0.0,8,20
1495,3.149462365591398,19.366666666666667,-12.881720430107526,13.942574257425743,2.128,3.1818181818181817,8,21
1496,-8.029347826086957,8.932608695652174,-29.21630434782609,19.603061224489796,17.353191489361702,9.342857142857143,8,22
1497,-19.785714285714285,1.6274725274725275,-37.96153846153846,19.60918367346939,22.55652173913043,18.67058823529412,8,23
1498,-15.445054945054945,5.4010989010989015,-36.74945054945055,14.50421052631579,16.806521739130435,19.45679012345679,8,24
1499,-19.461111111111112,0.13222222222222224,-34.83777777777778,9.16989247311828,12.816279069767443,23.275,8,25
1500,-10.687912087912089,7.279120879120879,-36.76483516483516,12.23404255319149,14.833333333333334,18.34927536231884,8,26
1501,0.5445652173913044,18.241304347826087,-18.28804347826087,46.30105263157895,17.72391304347826,1.8,8,27
1502,9.453260869565218,29.82934782608696,-6.46304347826087,43.72872340425532,3.531111111111111,0.0,8,28
1503,13.964444444444444,25.59,0.9177777777777777,115.37065217391304,0.31627906976744186,0.0,8,29
1504,17.925555555555555,29.97555555555556,6.0855555555555565,40.70967741935484,0.0,0.0,8,30
1505,17.447191011235955,30.630337078651685,3.142696629213483,74.71521739130435,0.0,0.0,8,31
1506,11.291111111111112,29.793333333333333,-2.7544444444444447,35.776041666666664,0.3347826086956522,0.0,8,32
1507,5.814772727272727,21.679545454545455,-7.1215909090909095,16.14731182795699,3.9069767441860463,0.1111111111111111,8,33
1508,-10.011627906976743,9.63720930232558,-30.37906976744186,27.192222222222224,25.7175,10.875,8,34
1509,-10.485227272727274,7.244318181818182,-31.8625,8.017777777777779,8.146341463414634,9.975,8,35
1510,-12.551724137931034,6.390804597701149,-34.755172413793105,15.55,17.064102564102566,11.733333333333333,8,36
1511,-17.098863636363635,1.4157303370786516,-34.33295454545455,18.304494382022472,20.38780487804878,19.85185185185185,8,37
1512,-3.039772727272727,15.963636363636363,-30.532954545454547,14.35056179775281,13.8225,5.196428571428571,8,38
1513,4.256179775280899,24.930337078651686,-12.256179775280899,19.708988764044946,8.941463414634146,0.030303030303030304,8,39
1514,9.523863636363636,27.556818181818183,-6.1261363636363635,16.123255813953488,0.9421052631578947,0.0,8,40
1515,16.188636363636363,31.619318181818183,1.9568181818181818,33.14666666666666,0.0,0.0,8,41
1516,18.419318181818184,32.23977272727273,4.690909090909091,88.41868131868132,0.0,0.0,8,42
1517,17.132954545454545,32.48522727272727,2.5170454545454546,53.32307692307692,0.005128205128205128,0.0,8,43
1518,11.539772727272727,28.89659090909091,-2.9306818181818177,52.20652173913044,0.1325,0.0,8,44
1519,6.387356321839081,24.380459770114943,-6.3310344827586205,34.716483516483514,2.965,0.3939393939393939,8,45
1520,-3.0290697674418605,10.494186046511627,-20.188372093023258,17.55,11.248648648648649,4.578947368421052,8,46
1521,-9.229411764705882,7.103529411764705,-29.814117647058822,10.258139534883721,9.714285714285714,9.576923076923077,8,47
1522,-12.325842696629213,4.4,-33.05393258426967,14.1010989010989,13.361538461538462,12.316455696202532,8,48
1523,-8.475,7.9602272727272725,-26.988636363636363,12.668888888888889,12.09736842105263,14.949367088607595,8,49
1524,-2.455681818181818,12.994318181818182,-21.892045454545453,18.883333333333333,16.19736842105263,12.057692307692308,8,50
1525,3.6105882352941174,22.876470588235293,-14.59764705882353,21.41395348837209,8.758823529411766,0.7096774193548387,8,51
1526,12.29294117647059,30.955294117647057,-3.114117647058823,55.44044943820224,0.38571428571428573,0.10344827586206896,8,52
1527,16.327058823529413,30.076470588235296,3.8388235294117647,68.42272727272727,0.0,0.0,8,53
1528,17.950000000000003,29.686746987951807,7.236585365853658,95.47209302325582,0.0,0.0,8,54
1529,16.49875,29.748148148148147,3.9049382716049386,59.16904761904762,0.0,0.0,8,55
1530,11.57,27.876543209876544,-0.68375,42.66309523809524,0.0,0.0,8,56
1531,2.530379746835443,18.8,-8.172151898734178,67.3890243902439,19.882758620689657,2.3142857142857145,8,57
1532,0.9595238095238094,17.55294117647059,-13.179761904761904,11.078823529411764,8.603225806451613,3.7866666666666666,8,58
1533,-15.076190476190478,1.1835294117647057,-33.90595238095238,12.74470588235294,15.87741935483871,10.657534246575343,8,59
1534,-13.0,5.409195402298851,-34.29418604651163,12.445977011494252,13.393939393939394,13.180555555555555,8,60
1535,-9.872093023255815,8.396590909090909,-31.46279069767442,13.136363636363637,11.24705882352941,10.415584415584416,8,61
