"province","yearmo","month_alpha","year","total_price_index","house_price_index","land_price_index","region_mean_temp","region_max_temp","region_min_temp","region_mean_precip","region_mean_snow","mean_snow_grnd_last_day"
"NL","201709","September","2017",98.9,98.6,99.8,10.982,22.936,0.1079999999999999,100.08888888888887,0.0125,0
"NL","201708","August","2017",98.9,98.6,99.8,14.793877551020408,24.96938775510204,4.522448979591837,102.075,0,0
"NL","201707","July","2017",99.4,99.3,99.8,14.847058823529412,26.560784313725488,4.250980392156863,66.13636363636364,0,0
"NL","201706","June","2017",99.4,99.1,100,10.24,23.558000000000003,-0.79,79.61818181818181,0,0
"NL","201705","May","2017",99.5,99.2,100,4.23,17.928,-6.086,62.07727272727273,9.976470588235294,2.25
"NL","201704","April","2017",99.5,99.2,100,-0.5419999999999999,12.078,-12.88,84.1659090909091,34.46470588235294,26.09090909090909
"NL","201703","March","2017",99.5,99.3,100,-5.532,5.282352941176471,-17.715999999999998,124.86,114.98823529411764,57.375
"NL","201702","February","2017",99.6,99.5,100,-7.792592592592593,6.710909090909091,-22.335185185185185,69.06734693877551,66.30952380952381,38.888888888888886
"NL","201701","January","2017",99.6,99.5,100,-6.96,5.167857142857143,-19.543636363636367,80.35686274509804,61.7,34.09375
"NL","201612","December","2016",100,100,100,-5.960655737704919,5.02741935483871,-17.134426229508197,97.86363636363636,76.41923076923078,21.205882352941178
"NL","201611","November","2016",100,100,100,2.841935483870968,13.81904761904762,-7.320967741935483,121.425,8.818518518518518,4.25
"NL","201610","October","2016",100,100.1,100,6.2283333333333335,18.515,-4.361666666666666,150.1,2.773076923076923,2.4
"NL","201609","September","2016",100,100.1,100,10.651724137931032,23.85172413793104,0.0810344827586206,106.1074074074074,0,0
"NL","201608","August","2016",99.8,99.7,100,15.50655737704918,25.309836065573773,5.3213114754098365,100.86607142857144,0,0
"NL","201607","July","2016",100,99.8,100.1,14.53103448275862,26.479310344827585,3.36551724137931,77.11698113207547,0,0
"NL","201606","June","2016",100.3,100.2,100.1,10.405,25.01,-1.2721311475409836,99.13148148148149,0.0461538461538461,0
"NL","201605","May","2016",100.3,100.2,100.1,6.440983606557377,21.555737704918037,-3.2161290322580647,85.19818181818181,1.7185185185185188,0
"NL","201604","April","2016",100.2,100.2,99.9,-0.0372881355932203,12.484745762711864,-12.703333333333337,83.51886792452831,33.48,6.3
"NL","201603","March","2016",100.2,100.2,99.9,-6.120634920634921,6.750793650793651,-17.934920634920637,77.71964285714286,52.61071428571428,29.085714285714285
"NL","201602","February","2016",100.3,100.4,99.9,-6.081967213114754,8.793442622950819,-19.06393442622951,101.83818181818182,59.9,17.764705882352942
"NL","201601","January","2016",100.3,100.4,99.7,-7.919354838709677,2.927419354838709,-19.64354838709677,68.71818181818182,61.92222222222222,29.08333333333333
"NL","201512","December","2015",100.3,100.4,99.7,-4.39375,7.38125,-17.6109375,52.78245614035088,23.4,5.184848484848485
"NL","201511","November","2015",100.3,100.4,99.7,-0.0584615384615384,11.69076923076923,-12.58,76.23965517241379,14.689655172413794,3.96875
"NL","201510","October","2015",100.1,100.2,99.4,5.525806451612904,18.92419354838709,-4.568253968253968,107.93272727272728,2.988888888888889,1.1176470588235294
"NL","201509","September","2015",100.1,100.2,99.4,11.515625,23.4984375,-0.0553846153846153,92.60377358490568,0.0464285714285714,0
"NL","201508","August","2015",100.1,100.2,99.4,16.292424242424243,27.016666666666666,6.350746268656716,86.39999999999999,0,0
"NL","201507","July","2015",100.1,100.2,99.4,12.644615384615385,24.71846153846154,4.063636363636364,90.25438596491227,0,0
"NL","201506","June","2015",99.8,99.9,99.2,9.987878787878788,23.47878787878788,-1.4223880597014924,77.30862068965517,0,0
"NL","201505","May","2015",99.8,99.9,99.2,5.9125,20.9921875,-3.809230769230769,63.558928571428574,2.453333333333333,0.1578947368421052
"NL","201504","April","2015",99.9,100.2,98.9,-1.9307692307692308,10.038461538461538,-16.48181818181818,77.23333333333333,18.58,20.096774193548388
"NL","201503","March","2015",99.9,100.2,98.9,-8.597101449275362,3.776811594202899,-22.513043478260872,74.4857142857143,72.14411764705882,86.875
"NL","201502","February","2015",99.9,100.2,98.9,-10.881428571428572,3.62,-24.36231884057971,121.1873015873016,104.11515151515152,79.37837837837837
"NL","201501","January","2015",99.9,100.2,98.9,-9.428358208955224,4.807462686567164,-22.22238805970149,103.44666666666669,83.928125,35.516129032258064
"NL","201412","December","2014",99.9,100.2,98.9,-3.631578947368421,9.20877192982456,-17.403508771929825,100.67450980392157,20.981818181818184,7
"NL","201411","November","2014",99.9,100.2,98.9,0.2413793103448276,11.913793103448276,-12.443103448275863,136.49803921568628,40.86521739130435,10.483870967741936
"NL","201410","October","2014",99.7,100,98.6,7.433898305084746,19.65423728813559,-2.005084745762712,101.42941176470588,0.9521739130434782,0
"NL","201409","September","2014",99.7,100,98.6,10.922033898305084,23.11186440677966,0.0779661016949152,67.49803921568628,0.017391304347826,0
"NL","201408","August","2014",99.7,100,98.6,15.75,26.37586206896552,4.229310344827587,105.7846153846154,0,0
"NL","201407","July","2014",99.7,100,98.6,16.896610169491524,28.393220338983053,6.886440677966102,79.52115384615385,0,0
"NL","201406","June","2014",99.7,100,98.6,10.652173913043478,25.717391304347824,-0.3797101449275362,90.56949152542371,0.406060606060606,0
"NL","201405","May","2014",99.8,100.1,98.6,4.327941176470588,19.525,-5.31764705882353,68.5542372881356,6.821875,0.0434782608695652
"NL","201404","April","2014",99.9,100.3,98.5,-0.3970149253731344,12.735820895522387,-12.171641791044776,41.655932203389824,13.733333333333333,11.25925925925926
"NL","201403","March","2014",99.9,100.3,98.5,-8.707462686567164,4.967164179104477,-24.04179104477612,74.53103448275863,57.33030303030304,58.15384615384615
"NL","201402","February","2014",99.6,100,98.3,-10.19076923076923,2.367692307692308,-22.75230769230769,89.95,92.8516129032258,66.51282051282051
"NL","201401","January","2014",99.6,100,98.5,-7.233333333333333,6.442028985507246,-22.81159420289855,133.43166666666667,69.51142857142857,39.21428571428572
"NL","201312","December","2013",99.6,100,98.5,-8.24705882352941,5.660294117647059,-20.33529411764706,102.35172413793104,83.71290322580644,49.97142857142857
"NL","201311","November","2013",99.6,100,98.5,1.036764705882353,13.498529411764704,-9.976470588235294,132.6948275862069,27.35,5.92
"NL","201310","October","2013",99.6,100,98.3,5.69375,19.2296875,-4.5984375,106.6818181818182,2.075862068965517,1.619047619047619
"NL","201309","September","2013",99.6,100,98.3,11.747692307692308,23.19846153846154,0.1846153846153846,132.64285714285714,0.1724137931034483,0
"NL","201308","August","2013",99.6,100,98.3,14.79402985074627,24.91044776119403,3.053731343283582,116.26206896551724,0,0
"NL","201307","July","2013",99.4,100,97.6,15.498507462686568,27.547761194029853,4.223880597014926,91.4103448275862,0,0
"NL","201306","June","2013",98.8,99.5,96.6,9.786764705882351,22.81764705882353,0.0397058823529411,94.32321428571429,1.2441176470588236,0
"NL","201305","May","2013",98.8,99.5,96.6,6.416901408450705,19.674647887323943,-4.042253521126761,85.61803278688524,5.1,0.5
"NL","201304","April","2013",98.6,99.5,96.1,1.0231884057971017,15.42608695652174,-9.99855072463768,71.46206896551725,15.605882352941178,8.352941176470589
"NL","201303","March","2013",97.7,98.2,95.7,-0.928358208955224,7.713432835820895,-12.864179104477612,78.38448275862069,30.573529411764707,21.484848484848484
"NL","201302","February","2013",97.7,98.2,95.7,-6.707246376811594,5.108695652173913,-20.037681159420288,83.73898305084747,71.25428571428571,42.47368421052632
"NL","201301","January","2013",97.7,98.3,95.7,-8.18235294117647,7.766176470588236,-21.78676470588235,85.1728813559322,72.85142857142857,38.60606060606061
"NL","201212","December","2012",97.5,98.1,95.6,-2.970689655172414,6.868965517241379,-12.277586206896553,96.13673469387754,36.532,24.357142857142858
"NL","201211","November","2012",97.5,98.1,95.6,1.8589285714285717,14.335714285714284,-9.389473684210529,122.47291666666666,19.579166666666666,8.178571428571429
"NL","201210","October","2012",97.5,98.1,95.6,7.349122807017544,17.135087719298248,-1.363157894736842,101.22127659574468,2.4347826086956523,0
"NL","201209","September","2012",97.5,98.1,95.6,13.232307692307693,23.476923076923075,2.56,104.71272727272726,0,0
"NL","201208","August","2012",97.7,98.4,95.6,16.87538461538462,27.25230769230769,7.224615384615385,106.30701754385964,0,0
"NL","201207","July","2012",97.7,98.3,95.6,16.233846153846155,26.526153846153846,6.62,85.41052631578947,0,0
"NL","201206","June","2012",97.1,97.6,95.3,11.273134328358209,25.63731343283582,1.0880597014925375,48.42033898305085,0,0
"NL","201205","May","2012",97,97.6,95,7.28030303030303,23.145454545454545,-4.337878787878788,57.43684210526316,2.502941176470588,0
"NL","201204","April","2012",96.8,97.4,94.8,2.253846153846154,15.264615384615386,-9.767692307692307,73.99636363636364,18.615151515151517,12.768
"NL","201203","March","2012",96.8,97.5,94.8,-5.219402985074627,8.235820895522387,-21.1955223880597,59.03157894736842,53.142857142857146,39.892857142857146
"NL","201202","February","2012",96.5,97,94.7,-7.170149253731343,5.979104477611941,-20.604477611940297,89.32545454545453,63.69411764705882,58.689655172413794
"PE","201201","January","2012",100.7,101.9,95.1,-4.84,8.84,-15.25,56.3875,39.38181818181818,5.076923076923077
"PE","202302","February","2023",122.6,127,104.5,-7.3875,9.0625,-25.975,42.72857142857144,28.7,3.8
"PE","202301","January","2023",122.6,127,104.5,-2.111111111111111,8.666666666666666,-13.5,164.4625,32.65,3.333333333333333
"PE","202212","December","2022",122.6,127,104.5,0.2555555555555555,11.244444444444444,-11.77777777777778,110.725,19.8,0
"PE","202211","November","2022",122.6,127,104.5,4.933333333333334,20.38888888888889,-7.455555555555555,117.85,1.4,0
"PE","202210","October","2022",122.6,127,104.5,11.88888888888889,20.83333333333333,0.5444444444444445,49.325,0,0
"PE","202209","September","2022",122.6,127,104.5,15.211111111111112,25.633333333333333,3.755555555555555,107.1375,0,0
"PE","202208","August","2022",122.8,127.3,104.5,20.366666666666667,31.355555555555554,9.844444444444443,109.575,0,0
"PE","202207","July","2022",122.8,127.3,104.5,19.95555555555556,30.53333333333333,10.711111111111112,83.8875,0,0
"PE","202206","June","2022",122.5,126.9,104.5,15.144444444444446,26.61111111111111,3.822222222222222,107.7125,0,0
"PE","202205","May","2022",121.3,125.5,104.5,9.755555555555556,26.08888888888889,-3.4444444444444446,44.0375,0,0
"PE","202204","April","2022",121.3,125.5,104.5,3.744444444444445,15.877777777777778,-7.199999999999999,98.5375,14.75,0.3333333333333333
"PE","202203","March","2022",121.3,125.5,104.5,-1.3666666666666667,10.577777777777778,-18.08888888888889,100.3375,44.9,10.333333333333334
"PE","202202","February","2022",119.5,123.6,103.1,-5.122222222222223,10.566666666666666,-20.066666666666663,88,83.2,20.571428571428573
"PE","202201","January","2022",119.5,123.6,103.1,-6.888888888888889,7.51111111111111,-21.03333333333333,101.7875,133.45,51.42857142857143
"PE","202112","December","2021",119.5,123.6,103.1,-0.9666666666666666,14.544444444444444,-12.911111111111111,85.1625,29.9,1.6
"PE","202111","November","2021",119.7,123.8,103.3,4.888888888888889,16.033333333333335,-5.477777777777778,165.45,4.5,0
"PE","202110","October","2021",119.7,123.8,103.3,10.81111111111111,20.811111111111117,1.4666666666666666,72.7875,0,0
"PE","202109","September","2021",119.7,123.8,103.3,15.97777777777778,25.711111111111112,5.4,182.5625,0,0
"PE","202108","August","2021",119.8,123.9,103.3,20.55555555555556,30.9,9.822222222222225,34.125,0,0
"PE","202107","July","2021",119.7,123.8,103.3,17.866666666666667,27.95555555555556,9.077777777777778,123.1,0,0
"PE","202106","June","2021",118.9,121.9,103.3,17.685714285714287,31.457142857142856,2.3000000000000003,62.5,0,0
"PE","202105","May","2021",118.9,121.9,103.3,8.571428571428571,25.785714285714285,-1.8857142857142857,91.9,0,0
"PE","202104","April","2021",115.2,117.5,103.3,4.257142857142857,18.857142857142858,-3.971428571428572,91.925,13.2,1
"PE","202103","March","2021",113.9,116,103.3,-1.275,15.9625,-16.1625,61.06666666666666,25.6,0.5
"PE","202102","February","2021",110.2,111.5,103.3,-5.075,8.975,-16.675,107.07142857142856,79.2,26.4
"PE","202101","January","2021",110,111.3,103.3,-3.071428571428572,4.414285714285714,-12.55714285714286,67.38571428571429,57.7,9
"PE","202012","December","2020",106.5,107,103.3,2.0125,14.4,-9.525,100.9,14.7,0.25
"PE","202011","November","2020",106.5,107.1,103.3,5.455555555555556,21.266666666666666,-4.688888888888889,73.8875,4.8,0
"PE","202010","October","2020",104.7,105.7,100.4,9.22222222222222,21.03333333333333,-2.7666666666666666,75.9375,1.3,1.3333333333333333
"PE","202009","September","2020",104.7,105.7,100.4,15.05,26.2125,0.875,81.4125,0,0
"PE","202008","August","2020",102.6,103.1,100.3,19.842857142857145,31.37142857142857,7.714285714285714,56.0625,0,0
"PE","202007","July","2020",102.6,103.1,100.3,19.428571428571427,30.428571428571427,7.585714285714286,42.24285714285714,0,0
"PE","202006","June","2020",102.6,103.1,100.3,16.442857142857143,31.61428571428572,0.9571428571428572,27.78,0,0
"PE","202005","May","2020",102.6,103.1,100.3,8.233333333333333,26.688888888888886,-2.077777777777777,70.6,0.55,0
"PE","202004","April","2020",102,102.4,100.2,2.6,13.833333333333334,-5.466666666666667,22.914285714285715,7.55,1
"PE","202003","March","2020",102,102.4,100.2,-2.555555555555556,8.355555555555556,-12.411111111111111,55.371428571428574,45.1,28.5
